,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,ushtobe,kz,45.25,77.98,46.54,53.0,68.0,4.94
1,ponta do sol,cv,17.2,-25.09,77.14,100.0,20.0,12.77
2,warrenton,za,-28.11,24.85,68.77,29.0,0.0,8.3
3,kikwit,cd,-5.04,18.82,75.11,94.0,32.0,0.47
5,gao,ml,16.28,-0.04,78.17,27.0,0.0,8.19
6,cairns,au,-16.92,145.77,75.2,57.0,0.0,9.17
7,tahoua,ne,14.89,5.26,73.4,82.0,32.0,2.59
8,hobart,au,-42.88,147.33,50.0,43.0,75.0,6.93
9,upernavik,gl,72.79,-56.15,23.99,100.0,88.0,23.29
10,chokurdakh,ru,70.62,147.9,7.34,85.0,88.0,7.4
11,butaritari,ki,3.07,172.79,85.55,100.0,8.0,10.76
12,rikitea,pf,-23.12,-134.97,73.27,100.0,0.0,14.45
13,tual,id,-5.67,132.75,81.64,100.0,48.0,5.95
14,coihaique,cl,-45.58,-72.07,60.51,42.0,40.0,6.93
15,hermanus,za,-34.42,19.24,66.92,65.0,0.0,4.5
17,srednekolymsk,ru,67.46,153.71,7.79,76.0,92.0,6.73
18,busselton,au,-33.64,115.35,56.3,100.0,0.0,12.21
19,ushuaia,ar,-54.81,-68.31,50.0,53.0,40.0,19.46
20,chapais,ca,49.78,-74.86,30.2,50.0,1.0,6.93
22,wamba,cd,2.14,27.99,69.71,95.0,24.0,2.15
23,karratha,au,-20.74,116.85,64.81,88.0,0.0,4.72
24,shahabad,in,17.12,76.94,63.91,68.0,0.0,3.71
25,hilo,us,19.71,-155.08,77.32,69.0,20.0,5.82
26,naryan-mar,ru,67.67,53.09,28.72,88.0,48.0,13.67
27,aksarka,ru,66.56,67.8,26.87,90.0,76.0,9.75
28,nisia floresta,br,-6.09,-35.21,80.6,65.0,40.0,5.82
29,boddam,gb,57.47,-1.78,39.2,80.0,80.0,9.17
30,villaviciosa,es,43.48,-5.43,44.6,81.0,75.0,2.24
31,leshukonskoye,ru,64.9,45.76,31.28,84.0,88.0,6.06
34,longyearbyen,sj,78.22,15.64,19.4,73.0,75.0,10.29
35,camacha,pt,33.08,-16.33,66.2,59.0,40.0,20.8
36,huanren,cn,41.26,125.37,34.07,81.0,8.0,5.39
37,punta arenas,cl,-53.16,-70.91,53.6,50.0,40.0,18.34
38,prestea,gh,5.43,-2.14,76.82,90.0,24.0,4.94
39,rawson,ar,-43.3,-65.11,74.89,32.0,0.0,9.98
40,esperance,au,-33.86,121.89,56.3,89.0,76.0,6.96
41,jamestown,sh,-15.94,-5.72,68.27,100.0,0.0,10.98
42,bluff,nz,-46.6,168.33,50.09,100.0,92.0,1.25
43,srikakulam,in,18.29,83.89,82.13,100.0,0.0,14.12
44,washougal,us,45.58,-122.35,61.68,67.0,90.0,16.11
45,lokosovo,ru,61.13,74.84,38.62,91.0,88.0,7.96
46,tuktoyaktuk,ca,69.44,-133.03,26.6,100.0,90.0,12.75
